rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license,resampled_sampling_rate,resampled_filename,resampled_channels
3.5,,amewig,1 (mono),06-02-2013,level,20,XC150015.mp3,level,American Wigeon,03-Jan,XC150015 American Wigeon (Mareca americana),"['Zonotrichia albicollis_White-throated Sparrow', ""Melospiza lincolnii_Lincoln's Sparrow"", 'Spizella pallida_Clay-colored Sparrow', 'Vireo olivaceus_Red-eyed Vireo']",,Mareca americana," Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,44100 (Hz),call,260 m,,128000 (bps),mp3,level,White-throated Sparrow (Zonotrichia albicollis); Lincoln's Sparrow (Melospiza lincolnii); Clay-colored Sparrow (Spizella pallida); Red-eyed Vireo (Vireo olivaceus),150015,https://www.xeno-canto.org/150015,Canada,Dugan Maynard,Mareca americana_American Wigeon,-111.3803,0-3(s),05:00,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC150015.wav,1 (mono)
3,no,amewig,1 (mono),06-09-2013,level,24,XC150063.mp3,level,American Wigeon,03-Jan,XC150063 American Wigeon (Mareca americana),[],no,Mareca americana," Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,44100 (Hz),call,260 m,,128000 (bps),mp3,level,,150063,https://www.xeno-canto.org/150063,Canada,Dugan Maynard,Mareca americana_American Wigeon,-111.3803,0-3(s),06:00,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC150063.wav,1 (mono)
1,no,amewig,1 (mono),06-08-2013,both,25,XC152348.mp3,level,American Wigeon,03-Jan,XC152348 American Wigeon (Mareca americana),[],no,Mareca americana," Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,44100 (Hz),call,260 m,,128000 (bps),mp3,level,,152348,https://www.xeno-canto.org/152348,Canada,Dugan Maynard,Mareca americana_American Wigeon,-111.3803,0-3(s),22:00,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC152348.wav,1 (mono)
3.5,no,amewig,1 (mono),10/20/2013,both,153,XC152396.mp3,level,American Wigeon,03-Jan,XC152396 American Wigeon (Mareca americana),"['Fulica americana_American Coot', 'Cistothorus palustris_Marsh Wren', 'Porzana carolina_Sora']",yes,Mareca americana," Oso Flaco Lake, Nipomo, California",35.0307,44100 (Hz),call,0 m,This recording is part of a longer recording that emphasizes the American Coot. It has been edited to de-emphasize the Coot.,320000 (bps),mp3,both,American Coot (Fulica americana); Marsh Wren (Cistothorus palustris); Sora (Porzana carolina),152396,https://www.xeno-canto.org/152396,United States,Thomas G. Graves,Mareca americana_American Wigeon,-120.6205,0-3(s),09:30,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC152396.wav,1 (mono)
1.5,no,amewig,1 (mono),06-02-2013,level,18,XC152873.mp3,level,American Wigeon,03-Jan,XC152873 American Wigeon (Mareca americana),"['Passerculus sandwichensis_Savannah Sparrow', 'Spizella passerina_Chipping Sparrow', 'Turdus migratorius_American Robin', 'Zonotrichia albicollis_White-throated Sparrow', 'Agelaius phoeniceus_Red-winged Blackbird']",no,Mareca americana," Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,44100 (Hz),call,260 m,"Simple low 2 note call given at 0:01, 0:06, 0:11, and 0:17",128000 (bps),mp3,level,Savannah Sparrow (Passerculus sandwichensis); Chipping Sparrow (Spizella passerina); American Robin (Turdus migratorius); White-throated Sparrow (Zonotrichia albicollis); American Yellow Warbler (Setophaga aestiva); Red-winged Blackbird (Agelaius phoeniceus),152873,https://www.xeno-canto.org/152873,Canada,Dugan Maynard,Mareca americana_American Wigeon,-111.3803,0-3(s),05:00,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC152873.wav,1 (mono)
3.5,no,amewig,1 (mono),6/21/2013,level,10,XC153020.mp3,level,American Wigeon,20-Jul,XC153020 American Wigeon (Mareca americana),"['Porzana carolina_Sora', ""Melospiza lincolnii_Lincoln's Sparrow"", 'Spizella passerina_Chipping Sparrow', 'Leiothlypis peregrina_Tennessee Warbler', 'Spizella pallida_Clay-colored Sparrow', 'Vireo olivaceus_Red-eyed Vireo']",no,Mareca americana," Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,44100 (Hz),call,260 m,,128000 (bps),mp3,both,Sora (Porzana carolina); Lincoln's Sparrow (Melospiza lincolnii); Chipping Sparrow (Spizella passerina); Tennessee Warbler (Leiothlypis peregrina); Clay-colored Sparrow (Spizella pallida); Red-eyed Vireo (Vireo olivaceus),153020,https://www.xeno-canto.org/153020,Canada,Dugan Maynard,Mareca americana_American Wigeon,-111.3803,0-3(s),04:00,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC153020.wav,1 (mono)
3.5,no,amewig,1 (mono),1/25/2014,Not specified,150,XC165450.mp3,Not specified,American Wigeon,Not specified,XC165450 American Wigeon (Mareca americana),['Anas platyrhynchos_Mallard'],yes,Mareca americana," Beacon Hill Park, Victoria, British Columbia",48.4123,44100 (Hz),call,10 m,"Low growling sounds and whistled calls from a tight group of ~30 males and females feeding on grass; recorded from ~3 metres away.  Unclear whether low, rough calls were from both males and females or from just females; some of these calls were seen to come from females.",128000 (bps),mp3,Not specified,Mallard (Anas platyrhynchos),165450,https://www.xeno-canto.org/165450,Canada,Ian Cruickshank,Mareca americana_American Wigeon,-123.3627,Not specified,13:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,32000,XC165450.wav,1 (mono)
3.5,no,amewig,1 (mono),02-09-2012,Not specified,36,XC172886.mp3,Not specified,American Wigeon,Not specified,XC172886 American Wigeon (Mareca americana),"['Antigone canadensis_Sandhill Crane', 'Charadrius vociferus_Killdeer']",yes,Mareca americana," Twin Lakes Golf Course, Willcox, Arizona",32.233,48000 (Hz),call,1300 m,,128000 (bps),mp3,Not specified,Sandhill Crane (Antigone canadensis); Killdeer (Charadrius vociferus),172886,https://www.xeno-canto.org/172886,United States,Paul Marvin,Mareca americana_American Wigeon,-109.8269,Not specified,11:27,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC172886.wav,1 (mono)
4,no,amewig,1 (mono),3/23/2012,Not specified,11,XC172887.mp3,Not specified,American Wigeon,Not specified,XC172887 American Wigeon (Mareca americana),[],yes,Mareca americana," Tijuana Slough NWR, trail from south end of 5th street, Imperial Beach, California",32.564,48000 (Hz),call,0 m,,128000 (bps),mp3,Not specified,,172887,https://www.xeno-canto.org/172887,United States,Paul Marvin,Mareca americana_American Wigeon,-117.1256,Not specified,09:54,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC172887.wav,1 (mono)
3.5,no,amewig,1 (mono),03-03-2012,Not specified,25,XC172888.mp3,Not specified,American Wigeon,Not specified,XC172888 American Wigeon (Mareca americana),['Haemorhous mexicanus_House Finch'],yes,Mareca americana," Tijuana Slough NWR, trail from south end of 5th street, Imperial Beach, California",32.564,48000 (Hz),call,0 m,,128000 (bps),mp3,Not specified,House Finch (Haemorhous mexicanus),172888,https://www.xeno-canto.org/172888,United States,Paul Marvin,Mareca americana_American Wigeon,-117.1256,Not specified,10:15,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC172888.wav,1 (mono)
4,no,amewig,1 (mono),03-04-2012,Not specified,10,XC172889.mp3,Not specified,American Wigeon,Not specified,XC172889 American Wigeon (Mareca americana),[],yes,Mareca americana," Tijuana Slough NWR, trail from south end of 5th street, Imperial Beach, California",32.564,48000 (Hz),call,0 m,,128000 (bps),mp3,Not specified,,172889,https://www.xeno-canto.org/172889,United States,Paul Marvin,Mareca americana_American Wigeon,-117.1256,Not specified,10:53,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC172889.wav,1 (mono)
4,no,amewig,1 (mono),3/22/2012,Not specified,16,XC172890.mp3,Not specified,American Wigeon,Not specified,XC172890 American Wigeon (Mareca americana),[],yes,Mareca americana," Tijuana Slough NWR, trail from south end of 5th street, Imperial Beach, California",32.564,48000 (Hz),call,0 m,,128000 (bps),mp3,Not specified,,172890,https://www.xeno-canto.org/172890,United States,Paul Marvin,Mareca americana_American Wigeon,-117.1256,Not specified,10:45,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC172890.wav,1 (mono)
5,no,amewig,2 (stereo),06-07-2014,Not specified,9,XC187408.mp3,Not specified,American Wigeon,Not specified,XC187408 American Wigeon (Mareca americana),[],yes,Mareca americana," Saint-Aimé-des-Lacs, Charlevoix-Est, Québec",47.7312,44100 (Hz),flight call,260 m,Couple in flight. Habitat: retention basin and marsh.,128000 (bps),mp3,Not specified,,187408,https://www.xeno-canto.org/187408,Canada,Martin St-Michel,Mareca americana_American Wigeon,-70.4221,Not specified,18:25,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,32000,XC187408.wav,1 (mono)
